# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3101 2795
p 2 0 680 240 1651 937
p 2 0 708 212 1734 974
p 2 0 743 177 1913 1014
p 2 0 630 290 1081 822
p 2 1 776 143 2635 1057
p 2 0 718 202 1764 1012
p 2 0 849 71 2675 1241
p 2 0 773 147 1928 1135
p 2 0 679 241 1101 873
p 2 0 678 242 1569 899
p 2 2 710 208 1519 927
p 2 0 704 216 1710 948
p 2 22 868 30 4666 1402
p 2 0 765 155 1494 1000
p 2 7 873 40 3509 1402
p 2 14 786 120 3976 1268
p 2 1 820 99 2484 1203
p 2 0 793 127 2220 1139
p 2 0 719 201 1198 908
p 2 1 830 89 2833 1238
i 2 920 0 0 16427 3762
p 2 1 833 86 4906 1343
p 2 0 789 131 3724 1258
p 2 0 615 305 1651 891
p 2 356 553 11 18707 3261
p 2 2 885 33 6340 1781
p 2 0 896 24 4791 1646
p 2 0 872 48 4018 1436
p 2 0 815 105 2444 1198
p 2 0 873 47 3709 1335
p 2 0 843 77 4202 1281
p 2 395 524 1 26598 3526
p 2 0 912 8 10243 1877
p 2 0 810 110 3121 1348
p 2 0 905 15 5941 1539
p 2 0 912 8 7596 1565
p 2 0 916 4 7245 1527
p 2 0 891 29 5303 1434
p 2 0 917 3 9156 1695
i 2 920 0 0 26534 4190
p 2 0 888 32 8790 1645
p 2 2 913 5 8967 1716
p 2 0 855 65 4690 1410
p 2 0 644 276 1833 983
p 2 0 916 4 12108 1774
i 2 920 0 0 32942 4257
p 2 3 901 16 9448 1757
p 2 2 914 4 9421 1821
p 2 0 912 8 7710 1680
i 2 920 0 0 38142 4531
p 2 1 900 19 12405 1732
p 2 0 899 21 10977 1589
p 2 0 883 37 11504 1523
p 2 1 918 1 18233 1841
i 2 920 0 0 39297 4213
p 2 0 901 19 13200 1711
p 2 3 914 3 12038 1644
p 2 0 894 26 12046 1468
p 2 0 850 70 6953 1160
p 2 0 886 34 11151 1401
p 2 0 790 130 7442 1111
i 2 920 0 0 37167 4203
p 2 3 903 14 12675 1511
p 2 0 642 278 2781 864
p 2 0 819 101 7421 1176
p 2 0 858 62 8124 1269
p 2 0 805 115 6722 1159
p 2 0 907 13 13779 1492
p 2 0 905 15 10561 1563
i 2 920 0 0 26074 3625
p 2 4 901 15 6880 1614
p 2 1 912 7 8744 1660
p 2 0 761 159 2764 1134
p 2 0 818 102 3430 1130
p 2 0 910 10 6489 1437
p 2 0 859 61 5622 1231
p 2 0 918 2 7198 1449
p 2 0 873 47 4136 1273
p 2 0 791 129 2346 1078
p 2 1 907 12 5968 1422
p 2 0 896 24 5532 1310
p 2 0 907 13 6687 1439
p 2 0 874 46 5182 1366
p 2 0 740 180 2494 1080
p 2 0 858 62 5955 1280
p 2 0 842 78 5087 1249
p 2 0 881 39 6236 1422
p 2 0 909 11 8014 1464
p 2 0 718 202 2157 1000
p 2 0 899 21 8007 1500
p 2 0 837 83 4505 1207
p 2 0 886 34 6204 1404
p 2 0 857 63 5717 1272
p 2 0 821 99 3523 1146
p 2 0 876 44 5500 1348
p 2 0 851 69 4829 1261
p 2 0 881 39 6506 1380
p 2 0 878 42 6350 1356
p 2 0 765 155 3099 1112
p 2 0 888 32 7190 1384
p 2 0 870 50 5538 1321
p 2 0 870 50 6713 1389
p 2 0 879 41 7262 1407
p 2 0 664 256 2507 938
p 2 0 910 10 9166 1487
p 2 0 822 98 5046 1180
p 2 0 874 46 5820 1355
p 2 0 859 61 6220 1275
p 2 0 805 115 4054 1133
p 2 0 863 57 6871 1313
p 2 0 864 56 6006 1283
p 2 0 867 53 7526 1342
p 2 0 867 53 6832 1335
p 2 0 737 183 3336 1038
p 2 0 895 25 8193 1340
p 2 0 871 49 6601 1312
p 2 0 895 25 7418 1352
p 2 0 904 16 9150 1433
p 2 0 662 258 2179 918
p 2 0 912 8 9520 1454
p 2 0 757 163 4611 1068
p 2 0 871 49 7961 1337
p 2 0 902 18 8608 1385
p 2 0 722 198 2958 994
p 2 0 850 70 5578 1228
p 2 0 890 30 7688 1399
p 2 0 894 26 8226 1361
p 2 0 898 22 8898 1416
p 2 0 823 97 4310 1170
p 2 0 900 20 8349 1385
p 2 0 874 46 7354 1302
p 2 0 904 16 8539 1414
p 2 0 910 10 9480 1439
p 2 0 717 203 2309 978
p 2 0 920 0 10666 1503
p 2 0 807 113 3952 1159
p 2 0 898 22 7918 1406
p 2 0 912 8 10227 1415
p 2 0 834 86 3695 1153
p 2 0 883 37 6464 1346
p 2 0 880 40 6808 1280
p 2 0 917 3 10060 1400
p 2 0 910 10 9746 1506
p 2 0 837 83 4697 1206
p 2 0 910 10 9856 1500
p 2 0 815 105 4399 1208
p 2 0 904 16 6099 1351
p 2 0 915 5 9829 1497
p 2 0 835 85 4121 1145
p 2 0 919 1 14331 1568
p 2 0 861 59 12720 1323
p 2 0 903 17 9678 1373
p 2 0 916 4 10703 1502
p 2 0 784 136 3637 1079
p 2 0 890 30 6070 1328
p 2 0 889 31 6354 1346
p 2 0 876 44 6147 1283
p 2 0 891 29 8516 1412
p 2 0 888 32 5983 1373
p 2 0 883 37 7697 1328
p 2 0 856 64 5341 1225
p 2 0 901 19 6599 1404
p 2 0 893 27 6897 1302
p 2 0 757 163 3018 1023
p 2 0 914 6 8224 1448
p 2 0 797 123 5152 1095
p 2 0 884 36 6372 1312
p 2 0 874 46 7265 1318
p 2 0 707 213 2774 970
p 2 0 835 85 3863 1167
p 2 0 895 25 7062 1370
p 2 0 904 16 8158 1397
p 2 0 910 10 7957 1416
p 2 0 825 95 4148 1163
p 2 0 881 39 5822 1278
p 2 0 876 44 6894 1285
p 2 0 881 39 5270 1323
p 2 0 915 5 10224 1450
p 2 0 701 219 2424 959
p 2 0 906 14 9097 1445
p 2 0 803 117 5337 1133
p 2 0 869 51 6222 1274
p 2 0 915 5 11334 1470
p 2 0 766 154 3027 1052
p 2 0 886 34 10321 1400
p 2 0 902 18 8919 1425
p 2 0 904 16 7023 1333
p 2 0 917 3 7854 1367
p 2 0 851 69 4279 1215
p 2 0 863 57 5889 1255
p 2 0 860 60 6444 1267
p 2 0 884 36 6231 1336
p 2 0 915 5 10565 1472
p 2 0 671 249 2040 916
p 2 0 913 7 8281 1427
p 2 0 792 128 3977 1112
p 2 0 885 35 7641 1362
p 2 0 905 15 9702 1424
p 2 0 731 189 2659 1003
p 2 0 860 60 7809 1312
p 2 0 909 11 9231 1418
p 2 0 895 25 11444 1420
p 2 0 915 5 10534 1529
p 2 0 808 112 3889 1165
p 2 0 898 22 6528 1318
p 2 0 843 77 6478 1226
p 2 0 899 21 7528 1361
p 2 0 911 9 9787 1472
p 2 0 728 192 2819 986
p 2 0 917 3 9612 1459
p 2 0 827 93 4831 1184
p 2 0 907 13 7083 1373
p 2 0 897 23 6902 1314
p 2 0 735 185 2826 1010
p 2 0 892 28 7227 1348
p 2 0 891 29 9386 1358
p 2 0 880 40 7644 1325
p 2 0 892 28 8371 1391
p 2 0 801 119 4263 1137
p 2 0 878 42 6029 1276
p 2 0 862 58 5710 1223
p 2 0 891 29 6706 1363
p 2 0 911 9 9128 1480
p 2 0 699 221 2745 957
p 2 0 912 8 8769 1423
p 2 0 790 130 3531 1099
p 2 0 916 4 8497 1476
p 2 0 911 9 8281 1354
p 2 0 877 43 6426 1279
p 2 0 855 65 5556 1237
p 2 0 897 23 7548 1372
p 2 0 900 20 8597 1368
p 2 0 916 4 8987 1442
p 2 0 866 54 5239 1245
p 2 0 903 17 8532 1368
p 2 0 837 83 6277 1221
p 2 0 885 35 7837 1322
p 2 0 914 6 8223 1431
p 2 0 713 207 3055 980
p 2 0 915 5 9145 1451
p 2 0 820 100 7709 1246
p 2 0 898 22 9031 1437
p 2 0 908 12 8551 1427
p 2 0 817 103 3843 1148
p 2 0 906 14 9202 1365
p 2 0 879 41 7018 1284
p 2 0 900 20 8584 1403
p 2 0 904 16 9144 1402
p 2 0 857 63 4229 1199
p 2 0 904 16 8942 1419
p 2 0 858 62 6489 1240
p 2 0 899 21 7141 1384
p 2 0 913 7 9028 1454
p 2 0 708 212 2408 947
p 2 0 918 2 9477 1432
p 2 0 853 67 6136 1213
p 2 0 906 14 7292 1397
p 2 0 904 16 9029 1362
p 2 0 771 149 3245 1047
p 2 0 899 21 8423 1390
p 2 0 900 20 8063 1332
p 2 0 901 19 8228 1388
p 2 0 910 10 7725 1416
p 2 0 750 170 3512 1061
p 2 0 862 58 6159 1267
p 2 0 825 95 4930 1166
p 2 0 881 39 5688 1297
p 2 0 905 15 9214 1409
p 2 0 749 171 3322 1028
p 2 0 913 7 11451 1459
p 2 0 843 77 11685 1308
p 2 0 910 10 12929 1477
p 2 0 910 10 11104 1414
p 2 0 810 110 3446 1099
p 2 0 897 23 11793 1393
p 2 0 886 34 8681 1341
p 2 0 884 36 5433 1279
p 2 0 890 30 6791 1360
p 2 0 806 114 3856 1129
p 2 0 877 43 6198 1256
p 2 0 831 89 5350 1183
p 2 0 865 55 5793 1294
p 2 0 919 1 9894 1479
p 2 0 752 168 2617 1021
p 2 0 913 7 8623 1462
p 2 0 796 124 4336 1096
p 2 0 864 56 4867 1263
p 2 0 895 25 7242 1351
p 2 0 748 172 2779 1018
p 2 0 819 101 4059 1153
p 2 0 882 38 6746 1356
p 2 0 885 35 6625 1309
p 2 0 852 68 4897 1253
p 2 0 785 135 3279 1115
p 2 0 848 72 4761 1233
p 2 0 790 130 4143 1129
p 2 0 820 100 4562 1224
p 2 0 861 59 5405 1301
p 2 0 682 238 2671 935
p 2 0 851 69 5216 1275
p 2 0 794 126 7464 1237
p 2 0 688 232 5794 1093
i 2 920 0 0 23653 3850
p 2 35 885 0 24605 2469
p 2 0 881 39 3615 1397
p 2 27 893 0 13085 2133
p 2 40 880 0 22755 2275
p 2 8 906 6 11525 1932
p 2 77 843 0 23927 2521
p 2 0 815 105 3654 1326
p 2 57 863 0 14287 2249
p 2 57 863 0 22609 2375
p 2 8 906 6 10597 1883
p 2 48 872 0 21578 2345
p 2 0 891 29 5061 1514
p 2 14 900 6 11078 1932
p 2 28 890 2 19987 2064
p 2 18 901 1 11897 1971
p 2 40 880 0 20467 2204
