# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3245 2835
p 2 0 848 72 2541 1221
p 2 0 770 150 1504 994
p 2 0 751 169 1973 1049
p 2 0 808 112 2029 1153
p 2 1 749 170 1808 1033
p 2 0 795 125 2148 1113
p 2 0 715 205 1393 981
p 2 6 799 115 2970 1238
p 2 0 794 126 1906 1119
p 2 0 860 60 2776 1189
p 2 0 746 174 1954 1055
p 2 0 669 251 1023 852
p 2 0 717 203 1597 968
p 2 2 669 249 1508 913
p 2 0 695 225 1659 963
p 2 27 872 21 4735 1544
p 2 0 845 75 2148 1180
p 2 10 860 50 3499 1314
p 2 15 856 49 5156 1553
p 2 0 858 62 2855 1313
p 2 0 834 86 2345 1208
p 2 0 765 155 1666 1049
p 2 5 792 123 3221 1183
i 2 920 0 0 16452 3767
p 2 0 907 13 6683 1527
p 2 0 868 52 4266 1365
p 2 0 837 83 3295 1283
p 2 353 564 3 18970 3252
p 2 0 908 12 6241 1797
p 2 0 907 13 4850 1646
p 2 0 890 30 4358 1485
p 2 0 840 80 2344 1238
p 2 0 877 43 3768 1344
p 2 0 870 50 4637 1383
p 2 403 517 0 26514 3549
p 2 3 913 4 10010 1927
p 2 0 890 30 5085 1450
p 2 0 886 34 5700 1486
p 2 0 902 18 6923 1485
p 2 0 911 9 7082 1502
p 2 0 898 22 5944 1489
p 2 0 906 14 7797 1649
i 2 920 0 0 26603 4192
p 2 0 899 21 9420 1692
p 2 2 898 20 7184 1555
p 2 0 850 70 4410 1343
p 2 0 713 207 2338 1053
p 2 0 912 8 10266 1689
i 2 920 0 0 32652 4271
p 2 1 896 23 10154 1712
p 2 0 823 97 4557 1355
p 2 0 918 2 15562 1800
i 2 920 0 0 37521 4499
p 2 0 907 13 12439 1714
p 2 0 911 9 11739 1642
p 2 1 890 29 11517 1539
p 2 0 918 2 17379 1802
i 2 920 0 0 38929 4199
p 2 2 905 13 13825 1699
p 2 1 911 8 10805 1540
p 2 0 910 10 11975 1429
p 2 0 867 53 8616 1243
p 2 0 829 91 10389 1228
p 2 0 804 116 8089 1163
i 2 920 0 0 37714 4193
p 2 0 904 16 12769 1537
p 2 0 885 35 7212 1342
p 2 0 822 98 7703 1200
p 2 0 800 120 7324 1155
p 2 0 873 47 8159 1295
p 2 0 912 8 14942 1504
p 2 0 863 57 7038 1404
i 2 920 0 0 26743 3624
