# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3106 2803
p 2 0 693 227 1699 933
p 2 0 690 230 1886 953
p 2 0 738 182 2066 1017
p 2 0 675 245 1288 897
p 2 3 757 160 2838 1050
p 2 0 717 203 1863 982
p 2 0 821 99 2584 1167
p 2 0 775 145 2018 1097
p 2 0 678 242 1033 860
p 2 0 652 268 1430 874
p 2 0 650 270 1460 868
p 2 0 653 267 1558 897
p 2 24 860 36 4718 1444
p 2 0 797 123 2085 1139
p 2 14 891 15 3660 1478
p 2 16 868 36 5043 1604
p 2 0 826 94 2657 1309
p 2 0 780 140 2146 1157
p 2 0 649 271 1265 883
p 2 3 840 77 3126 1212
i 2 920 0 0 16384 3756
p 2 0 843 77 4756 1344
p 2 0 772 148 3616 1194
p 2 0 517 403 1206 741
p 2 363 553 4 18991 3253
p 2 0 892 28 6320 1738
p 2 0 901 19 4774 1624
p 2 1 885 34 4182 1454
p 2 0 835 85 2755 1246
p 2 0 885 35 3671 1382
p 2 0 859 61 4429 1350
p 2 394 526 0 26372 3539
p 2 3 909 8 9940 1881
p 2 0 898 22 5144 1573
p 2 0 888 32 5467 1457
p 2 0 896 24 7054 1525
p 2 0 908 12 7098 1554
p 2 0 903 17 5760 1484
p 2 0 899 21 8310 1618
i 2 920 0 0 26891 4188
p 2 0 884 36 9020 1641
p 2 1 908 11 7190 1566
p 2 0 871 49 4687 1393
p 2 0 838 82 3768 1269
p 2 0 910 10 9992 1682
i 2 920 0 0 32691 4261
p 2 3 898 19 10100 1708
p 2 1 827 92 4432 1368
p 2 0 919 1 14697 1798
i 2 920 0 0 37544 4516
p 2 0 895 25 13006 1712
p 2 0 911 9 11281 1621
p 2 0 883 37 11087 1490
p 2 0 913 7 16420 1790
i 2 920 0 0 39742 4208
p 2 2 886 32 12784 1647
p 2 0 903 17 10471 1478
p 2 0 900 20 12384 1466
p 2 0 828 92 6533 1124
p 2 0 870 50 10697 1291
p 2 0 819 101 8388 1188
i 2 920 0 0 37308 4197
p 2 0 912 8 13940 1654
p 2 0 854 66 6562 1249
p 2 0 770 150 6717 1086
p 2 0 785 135 6788 1130
p 2 0 876 44 8227 1293
p 2 0 893 27 14996 1488
p 2 0 824 96 5579 1323
i 2 920 0 0 26691 3637
p 2 1 891 28 5392 1485
p 2 0 910 10 6795 1510
p 2 0 799 121 3430 1173
p 2 0 791 129 2936 1106
p 2 0 898 22 5101 1321
p 2 0 856 64 5709 1269
p 2 0 895 25 5402 1352
p 2 0 802 118 3104 1166
p 2 0 817 103 3057 1153
p 2 0 869 51 5151 1279
p 2 0 790 130 3514 1126
p 2 0 883 37 5895 1325
p 2 0 882 38 6552 1386
p 2 0 706 214 2014 965
p 2 0 894 26 7050 1398
p 2 0 873 47 6636 1297
p 2 0 903 17 6770 1479
p 2 0 902 18 6981 1407
p 2 0 834 86 3834 1171
p 2 0 895 25 5669 1370
p 2 0 868 52 5806 1281
p 2 0 870 50 6334 1367
p 2 0 885 35 6095 1371
p 2 0 747 173 2906 1085
p 2 0 877 43 7070 1350
p 2 0 787 133 3621 1147
p 2 0 870 50 6332 1365
p 2 1 886 33 7412 1384
p 2 0 699 221 2324 994
p 2 0 896 24 7671 1444
p 2 0 890 30 6708 1343
p 2 0 893 27 6786 1430
p 2 0 884 36 6381 1383
p 2 0 806 114 4059 1148
p 2 0 893 27 7423 1424
p 2 0 849 71 5332 1246
p 2 0 856 64 5631 1290
p 2 0 866 54 6390 1328
p 2 0 719 201 2903 1022
p 2 0 874 46 8501 1357
p 2 0 785 135 4680 1163
p 2 0 847 73 7009 1313
