# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3111 2813
p 2 0 720 200 1970 1011
p 2 0 717 203 2026 1029
p 2 0 780 140 2355 1117
p 2 0 688 232 1361 936
p 2 4 753 163 2674 1040
p 2 0 709 211 1726 946
p 2 0 842 78 2667 1160
p 2 0 799 121 2037 1110
p 2 0 703 217 1127 883
p 2 0 703 217 1572 934
p 2 0 637 283 1429 857
p 2 1 646 273 1516 883
p 2 24 860 36 4748 1429
p 2 0 786 134 1989 1156
p 2 8 894 18 3520 1426
p 2 15 861 44 5043 1606
p 2 0 842 78 2712 1313
p 2 0 799 121 2147 1172
p 2 0 644 276 1210 866
p 2 4 825 91 3022 1217
i 2 920 0 0 16408 3754
p 2 0 838 82 4664 1324
p 2 0 776 144 3464 1180
p 2 0 583 337 1461 831
p 2 358 560 2 19309 3252
p 2 0 900 20 6233 1734
p 2 0 892 28 4809 1588
p 2 0 889 31 4077 1465
p 2 0 839 81 2717 1234
p 2 0 879 41 3666 1363
p 2 0 862 58 4431 1323
p 2 399 521 0 26129 3572
p 2 1 916 3 10049 1861
p 2 0 897 23 5107 1523
p 2 0 888 32 5508 1453
p 2 0 898 22 7115 1495
p 2 0 905 15 7245 1496
p 2 0 899 21 5733 1458
p 2 0 892 28 7918 1599
i 2 920 0 0 26864 4187
p 2 0 882 38 8978 1634
p 2 0 907 13 7148 1584
p 2 0 847 73 4409 1358
p 2 0 799 121 3330 1196
p 2 0 908 12 10068 1671
i 2 920 0 0 32775 4263
p 2 3 900 17 10265 1738
p 2 1 890 29 6295 1540
p 2 0 920 0 14989 1817
i 2 920 0 0 37558 4519
p 2 0 899 21 13142 1735
p 2 0 910 10 11200 1605
p 2 0 884 36 11212 1495
p 2 0 915 5 16341 1754
i 2 920 0 0 39782 4204
p 2 3 886 31 12801 1636
p 2 0 906 14 10399 1448
p 2 0 904 16 12404 1458
p 2 0 836 84 6621 1130
p 2 0 879 41 10488 1306
p 2 0 828 92 8381 1171
i 2 920 0 0 37304 4195
p 2 1 912 7 13827 1592
p 2 0 849 71 6763 1243
p 2 0 773 147 6729 1094
p 2 0 801 119 6704 1142
p 2 0 860 60 7854 1275
p 2 0 897 23 14953 1454
p 2 0 838 82 6150 1344
i 2 920 0 0 26722 3626
p 2 1 895 24 5434 1494
p 2 0 905 15 6806 1482
p 2 0 810 110 3347 1194
p 2 0 791 129 2884 1103
p 2 0 910 10 5275 1353
p 2 0 856 64 5245 1251
p 2 0 891 29 5221 1355
p 2 0 826 94 3169 1167
p 2 0 842 78 3153 1164
p 2 0 883 37 5177 1319
p 2 0 815 105 3604 1139
p 2 0 887 33 6132 1341
p 2 0 894 26 6442 1364
p 2 0 724 196 2017 963
p 2 0 889 31 7093 1378
p 2 0 884 36 6533 1302
p 2 0 903 17 6726 1447
p 2 0 899 21 6905 1388
p 2 0 835 85 3735 1148
p 2 0 867 53 5629 1348
p 2 0 847 73 5579 1247
p 2 0 885 35 6391 1398
p 2 0 881 39 6200 1374
p 2 0 761 159 2805 1101
p 2 0 885 35 6898 1358
p 2 0 756 164 3420 1109
p 2 0 869 51 6359 1362
p 2 0 894 26 7331 1391
p 2 0 688 232 2219 952
p 2 0 888 32 7498 1412
p 2 0 874 46 6397 1311
p 2 0 888 32 7232 1462
p 2 0 883 37 6425 1366
p 2 0 788 132 3795 1114
p 2 0 903 17 7478 1436
p 2 0 852 68 5346 1263
p 2 0 846 74 5788 1269
p 2 0 862 58 6156 1315
p 2 0 708 212 2798 1015
p 2 0 881 39 8490 1327
p 2 0 777 143 4538 1160
p 2 0 842 78 7006 1284
p 2 0 888 32 7791 1356
p 2 0 659 261 2339 914
p 2 0 881 39 6565 1290
p 2 0 909 11 8631 1456
p 2 0 861 59 6040 1244
p 2 0 905 15 9637 1449
p 2 0 678 242 2274 940
p 2 0 855 65 6362 1267
p 2 0 874 46 6739 1335
p 2 0 864 56 7783 1278
p 2 0 873 47 8260 1321
p 2 0 880 40 5399 1337
p 2 0 814 106 4621 1134
p 2 0 828 92 6578 1219
p 2 0 902 18 7695 1403
p 2 0 889 31 8053 1351
p 2 0 799 121 4581 1142
p 2 0 917 3 9740 1482
p 2 0 864 56 6208 1280
p 2 0 917 3 9614 1496
p 2 0 912 8 8897 1373
p 2 0 800 120 3605 1109
p 2 0 912 8 8322 1418
p 2 0 835 85 5472 1207
p 2 0 910 10 6598 1392
p 2 0 913 7 10666 1451
p 2 0 773 147 3500 1124
p 2 0 874 46 7141 1301
p 2 0 808 112 5529 1177
p 2 0 915 5 9801 1418
p 2 0 912 8 10869 1532
p 2 0 741 179 3287 1016
p 2 0 920 0 10276 1526
p 2 0 792 128 4928 1168
p 2 0 896 24 5767 1360
p 2 0 915 5 8771 1442
p 2 0 838 82 4392 1162
p 2 0 913 7 13099 1515
p 2 0 896 24 12732 1384
p 2 0 881 39 9473 1347
p 2 0 918 2 10039 1512
p 2 0 834 86 4741 1186
p 2 0 903 17 8220 1404
p 2 0 803 117 4182 1124
p 2 0 896 24 6770 1385
p 2 0 910 10 9869 1440
p 2 0 811 109 3742 1132
p 2 0 915 5 9845 1538
p 2 0 873 47 6591 1284
p 2 0 897 23 6478 1386
p 2 0 900 20 7354 1370
p 2 0 800 120 3187 1079
p 2 0 910 10 6888 1399
p 2 0 891 29 6773 1250
p 2 0 888 32 6568 1333
p 2 0 884 36 6484 1339
p 2 0 773 147 3563 1080
p 2 0 901 19 7286 1363
p 2 0 829 91 4571 1203
p 2 0 891 29 7342 1415
p 2 0 901 19 8268 1334
p 2 0 786 134 2991 1068
p 2 0 910 10 7134 1390
p 2 0 902 18 7979 1306
p 2 0 900 20 5914 1381
p 2 0 915 5 10078 1449
p 2 0 756 164 3222 1047
p 2 0 838 82 5135 1187
p 2 0 883 37 6803 1345
p 2 0 899 21 7971 1328
p 2 0 915 5 9650 1458
p 2 0 848 72 4662 1242
p 2 0 916 4 11867 1459
p 2 0 855 65 7554 1290
p 2 0 888 32 6487 1331
p 2 0 913 7 9541 1419
p 2 0 754 166 2644 1030
p 2 0 909 11 9188 1396
p 2 0 856 64 5661 1256
p 2 0 904 16 7816 1419
p 2 0 904 16 8072 1350
p 2 0 808 112 3121 1087
p 2 0 894 26 5811 1338
p 2 0 890 30 5675 1261
p 2 0 891 29 7338 1378
p 2 0 903 17 8251 1447
p 2 0 837 83 4912 1205
p 2 0 895 25 10475 1415
p 2 0 849 71 5896 1238
p 2 0 911 9 10763 1480
p 2 0 909 11 10089 1463
p 2 0 815 105 3719 1144
p 2 0 919 1 9351 1452
p 2 0 825 95 5006 1220
p 2 0 917 3 7763 1434
p 2 0 904 16 8000 1358
p 2 0 764 156 3946 1109
p 2 0 905 15 7591 1335
p 2 0 872 48 5653 1255
p 2 0 902 18 6835 1383
p 2 0 886 34 6499 1278
p 2 0 832 88 3885 1163
p 2 0 891 29 7661 1328
p 2 0 864 56 7754 1295
p 2 0 884 36 7457 1318
p 2 0 907 13 10049 1440
p 2 0 687 233 2476 922
p 2 0 842 78 4714 1229
p 2 0 880 40 5860 1328
p 2 0 904 16 8212 1384
p 2 0 917 3 8812 1470
p 2 0 721 199 2802 1013
p 2 0 887 33 5133 1274
p 2 0 889 31 6917 1306
p 2 0 905 15 8540 1447
p 2 0 906 14 7957 1408
p 2 0 848 72 4848 1198
p 2 0 897 23 8293 1335
p 2 0 818 102 4814 1147
p 2 0 906 14 7626 1391
p 2 0 913 7 8317 1383
p 2 0 802 118 3476 1080
p 2 0 908 12 9427 1443
p 2 0 847 73 6779 1213
p 2 0 903 17 8647 1402
p 2 0 899 21 6874 1347
p 2 0 834 86 4161 1186
p 2 0 887 33 7619 1336
p 2 0 874 46 8588 1344
p 2 0 905 15 9412 1442
p 2 0 906 14 8691 1434
p 2 0 884 36 5030 1278
p 2 0 901 19 8665 1363
p 2 0 844 76 5248 1182
p 2 0 904 16 8479 1409
p 2 0 911 9 9785 1406
p 2 0 813 107 3608 1119
p 2 0 911 9 9761 1467
p 2 0 850 70 6798 1222
p 2 0 907 13 7184 1410
p 2 0 901 19 8301 1371
p 2 0 820 100 3669 1154
p 2 0 907 13 7163 1320
p 2 0 884 36 6929 1281
p 2 0 905 15 6661 1385
p 2 0 889 31 8271 1348
p 2 0 821 99 3962 1143
p 2 0 898 22 8776 1400
p 2 0 833 87 6389 1223
p 2 0 913 7 8766 1411
p 2 0 905 15 8128 1396
p 2 0 765 155 3312 1035
p 2 0 908 12 7326 1402
p 2 0 884 36 5853 1244
p 2 0 907 13 5900 1348
p 2 0 896 24 9004 1409
p 2 0 779 141 3632 1070
p 2 0 842 78 6401 1216
p 2 0 893 27 12331 1442
p 2 0 909 11 14076 1467
p 2 0 895 25 10118 1396
p 2 0 900 20 6999 1391
p 2 0 885 35 10872 1326
p 2 0 841 79 6561 1234
p 2 0 907 13 6956 1399
p 2 0 897 23 7063 1305
p 2 0 802 118 3527 1119
p 2 0 914 6 8730 1368
p 2 0 811 109 4504 1143
p 2 0 911 9 7893 1470
p 2 0 912 8 9059 1401
p 2 0 771 149 2928 1059
p 2 0 908 12 7045 1396
p 2 0 879 41 6224 1272
p 2 0 858 62 4682 1249
p 2 0 882 38 5836 1314
p 2 0 779 141 3527 1077
p 2 0 861 59 5684 1257
p 2 0 827 93 5110 1177
p 2 0 873 47 5470 1312
p 2 0 867 53 5389 1235
p 2 0 746 174 2493 1000
p 2 0 907 13 6662 1424
p 2 0 870 50 5415 1218
p 2 0 894 26 6045 1363
p 2 0 886 34 6291 1310
p 2 0 762 158 2995 1045
p 2 0 788 132 4956 1168
p 2 0 848 72 7498 1297
p 2 0 899 21 8370 1441
p 2 0 882 38 7189 1357
i 2 920 0 0 24945 3874
p 2 39 881 0 25988 2490
p 2 28 891 1 11970 2032
p 2 0 905 15 7477 1679
p 2 67 853 0 22691 2322
p 2 13 907 0 13747 2021
p 2 86 834 0 25890 2602
p 2 43 876 1 13380 2209
p 2 0 900 20 5132 1401
p 2 93 827 0 24925 2653
p 2 8 910 2 14366 1976
p 2 52 868 0 21762 2301
p 2 8 911 1 14359 1969
p 2 0 852 68 4008 1298
p 2 33 887 0 20898 2114
p 2 24 896 0 13201 2046
p 2 36 884 0 20496 2175
p 2 23 897 0 13320 1946
p 2 0 891 29 6296 1521
p 2 62 858 0 20726 2309
p 2 3 915 2 13640 1894
p 2 79 841 0 24091 2497
p 2 10 910 0 13256 2034
p 2 0 882 38 4771 1355
p 2 49 871 0 23600 2358
p 2 19 901 0 13270 2001
p 2 33 887 0 20683 2081
p 2 20 900 0 14553 1969
p 2 0 844 76 4380 1248
p 2 74 845 1 22120 2301
p 2 43 877 0 14678 2126
p 2 51 869 0 23380 2284
p 2 19 901 0 12984 1992
p 2 0 843 77 5167 1338
p 2 47 873 0 21566 2307
p 2 16 899 5 15209 1893
p 2 42 878 0 20353 2079
p 2 21 899 0 14779 1865
p 2 0 875 45 4401 1283
p 2 23 897 0 20516 2042
p 2 28 891 1 15715 1962
p 2 154 766 0 28550 2835
p 2 111 809 0 34371 2849
p 2 0 857 63 5367 1348
p 2 36 873 11 15254 2058
p 2 81 838 1 33793 2707
p 2 18 902 0 16553 2047
p 2 55 865 0 30360 2465
p 2 0 882 38 6702 1464
p 2 25 887 8 14178 1977
p 2 110 809 1 30639 2645
