# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3141 2792
p 2 0 758 162 1890 1039
p 2 0 766 154 1991 1068
p 2 0 680 240 1807 971
p 2 0 758 162 1596 1008
p 2 3 745 172 2607 1031
p 2 0 714 206 1968 1015
p 2 0 783 137 2084 1119
p 2 0 732 188 1641 1007
p 2 0 638 282 1073 832
p 2 0 662 258 1527 903
p 2 0 648 272 1429 868
p 2 0 677 243 1601 930
p 2 14 874 32 4567 1405
p 2 0 800 120 1735 1109
p 2 3 847 70 2981 1262
p 2 15 773 132 3792 1204
p 2 0 804 116 2484 1163
p 2 0 717 203 1877 969
p 2 0 754 166 1633 1008
p 2 0 809 111 2722 1176
i 2 920 0 0 16416 3762
p 2 4 795 121 4517 1358
p 2 0 778 142 3641 1231
p 2 0 674 246 2281 993
p 2 355 550 15 18634 3207
p 2 0 886 34 6142 1735
p 2 0 902 18 4530 1581
p 2 0 876 44 3985 1402
p 2 0 840 80 2631 1250
p 2 0 858 62 3757 1324
p 2 0 843 77 3993 1257
p 2 403 516 1 26321 3548
p 2 4 906 10 10327 1882
p 2 0 786 134 2954 1306
p 2 0 890 30 5951 1485
p 2 0 906 14 7351 1532
p 2 0 893 27 6792 1473
p 2 0 893 27 5397 1448
p 2 0 912 8 8888 1683
i 2 920 0 0 26581 4186
p 2 0 884 36 8989 1592
p 2 0 904 16 7368 1594
p 2 0 841 79 4175 1326
p 2 0 631 289 1849 930
p 2 0 913 7 11397 1714
i 2 920 0 0 32897 4257
p 2 3 897 20 9568 1719
p 2 17 902 1 10438 1949
p 2 0 914 6 7355 1660
i 2 920 0 0 38457 4535
p 2 0 904 16 12360 1779
p 2 1 907 12 11619 1634
p 2 0 892 28 11651 1557
p 2 0 919 1 18555 1846
i 2 920 0 0 39202 4204
p 2 2 902 16 13494 1717
p 2 0 917 3 11613 1614
p 2 0 894 26 12043 1462
p 2 0 841 79 7058 1149
p 2 0 899 21 11171 1365
p 2 0 780 140 7180 1073
i 2 920 0 0 37025 4200
p 2 1 904 15 13139 1548
p 2 0 643 277 2748 852
p 2 0 824 96 7380 1176
p 2 0 870 50 8523 1260
p 2 0 802 118 6573 1117
p 2 0 900 20 14080 1497
p 2 0 908 12 10988 1558
i 2 920 0 0 26197 3624
p 2 2 909 9 6688 1615
p 2 0 913 7 7991 1598
p 2 0 832 88 3639 1249
p 2 0 845 75 3646 1241
p 2 0 894 26 5861 1398
p 2 0 840 80 5337 1192
p 2 0 913 7 6758 1436
p 2 0 865 55 3917 1262
p 2 0 789 131 2408 1061
p 2 0 889 31 5319 1339
p 2 0 876 44 4894 1280
p 2 0 877 43 5895 1363
p 2 0 879 41 5198 1329
p 2 0 788 132 2787 1119
p 2 0 860 60 6132 1287
