# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3195 2813
p 2 1 768 151 2423 1159
p 2 0 690 230 1374 930
p 2 9 811 100 3415 1207
p 2 0 775 145 1849 1034
p 2 0 782 138 1942 1075
p 2 0 730 190 1688 1019
p 2 0 741 179 1295 934
p 2 0 674 246 1342 878
p 2 0 789 131 1867 1047
p 2 0 750 170 1897 1039
p 2 23 873 24 4923 1493
p 2 0 777 143 1858 1135
p 2 18 881 21 3960 1527
p 2 14 807 99 4029 1320
p 2 0 848 72 3171 1274
p 2 1 794 125 2630 1152
p 2 0 761 159 1746 1044
p 2 0 863 57 3261 1294
i 2 920 0 0 16404 3774
p 2 0 817 103 4558 1381
p 2 0 803 117 3611 1258
p 2 0 710 210 2273 1041
p 2 357 544 19 18792 3191
p 2 1 876 43 5781 1712
p 2 0 854 66 4125 1449
p 2 0 769 151 3138 1173
p 2 0 787 133 2855 1166
p 2 0 813 107 3350 1242
p 2 0 820 100 3937 1230
p 2 398 521 1 26313 3527
p 2 4 912 4 9836 1861
p 2 0 854 66 4088 1383
p 2 0 904 16 6718 1521
p 2 0 887 33 6684 1427
p 2 0 897 23 6567 1487
p 2 0 916 4 6612 1564
p 2 0 898 22 4944 1481
i 2 920 0 0 27012 4194
p 2 0 901 19 9184 1632
p 2 0 891 29 6167 1471
p 2 0 799 121 3386 1206
p 2 0 779 141 2879 1153
p 2 0 895 25 6707 1554
i 2 920 0 0 32930 4253
p 2 13 906 1 12259 1881
p 2 0 885 35 6821 1566
p 2 0 917 3 13178 1746
i 2 920 0 0 38865 4512
p 2 0 868 52 10426 1604
p 2 3 892 25 11354 1597
p 2 9 884 27 11829 1600
p 2 0 911 9 10842 1624
i 2 920 0 0 39807 4218
p 2 0 907 13 12731 1613
p 2 1 827 92 8409 1232
p 2 0 900 20 11767 1403
p 2 0 868 52 8887 1251
p 2 0 850 70 10434 1248
p 2 0 778 142 7033 1073
i 2 920 0 0 37345 4192
p 2 1 908 11 13359 1635
p 2 0 834 86 4775 1162
p 2 0 899 21 9292 1372
p 2 0 801 119 7569 1136
p 2 0 768 152 5160 1073
p 2 0 899 21 14145 1510
p 2 0 889 31 7556 1376
i 2 920 0 0 27463 3632
p 2 1 907 12 7433 1640
p 2 0 894 26 5248 1428
p 2 0 826 94 3887 1223
p 2 0 853 67 3633 1214
p 2 0 912 8 5857 1399
p 2 0 856 64 5146 1207
p 2 0 892 28 5074 1372
p 2 0 832 88 3405 1186
p 2 0 754 166 2460 1005
p 2 0 907 13 6375 1438
p 2 0 891 29 5119 1304
p 2 0 890 30 6176 1385
p 2 0 899 21 6468 1408
p 2 0 707 213 1891 963
p 2 0 865 55 5184 1299
p 2 0 895 25 7394 1400
p 2 0 892 28 6454 1423
p 2 0 897 23 6911 1416
p 2 0 776 144 2768 1125
p 2 0 880 40 7161 1377
p 2 0 822 98 4325 1176
p 2 0 886 34 6061 1386
p 2 0 877 43 5721 1304
p 2 0 773 147 3452 1105
p 2 0 898 22 7012 1411
p 2 0 821 99 4532 1201
p 2 0 888 32 6724 1398
p 2 0 873 47 6161 1291
p 2 0 804 116 3689 1124
p 2 0 898 22 6980 1394
p 2 0 882 38 6356 1334
p 2 0 849 71 6763 1355
p 2 0 886 34 6400 1397
p 2 0 773 147 3703 1126
p 2 0 885 35 8325 1393
p 2 0 772 148 3967 1115
p 2 0 884 36 5929 1335
p 2 0 887 33 6758 1366
p 2 0 816 104 4193 1134
p 2 0 892 28 8455 1385
p 2 0 808 112 4843 1156
p 2 0 850 70 7334 1322
p 2 0 877 43 7633 1356
p 2 0 648 272 2214 912
p 2 0 876 44 7393 1334
p 2 0 906 14 8146 1392
p 2 0 883 37 7768 1369
p 2 0 894 26 7465 1411
p 2 0 729 191 2801 1018
p 2 0 903 17 8656 1394
p 2 0 826 94 4801 1175
p 2 0 885 35 7212 1365
p 2 0 878 42 7669 1319
p 2 0 762 158 3793 1083
p 2 0 900 20 8000 1360
p 2 0 863 57 7035 1292
p 2 0 901 19 7773 1426
p 2 0 884 36 8074 1355
p 2 0 756 164 3278 1049
p 2 0 898 22 8194 1426
p 2 0 879 41 7936 1330
p 2 0 911 9 9318 1454
p 2 0 903 17 7722 1431
p 2 0 819 101 3586 1146
p 2 0 920 0 10397 1484
p 2 0 832 88 3887 1180
p 2 0 898 22 7490 1407
p 2 0 915 5 10273 1432
p 2 0 814 106 3853 1117
p 2 0 907 13 8806 1450
p 2 0 809 111 5241 1133
p 2 0 918 2 10620 1473
p 2 0 918 2 9900 1468
p 2 0 804 116 4510 1149
p 2 0 918 2 10638 1559
p 2 0 881 39 5428 1349
p 2 0 902 18 6653 1380
p 2 0 907 13 8123 1419
p 2 0 861 59 4897 1243
p 2 0 908 12 13240 1499
p 2 0 876 44 12516 1365
p 2 0 893 27 9340 1383
p 2 0 918 2 11731 1534
p 2 0 686 234 3003 939
p 2 0 918 2 10451 1512
p 2 0 756 164 3593 1067
p 2 0 879 41 7052 1354
p 2 0 913 7 9801 1428
p 2 0 746 174 3328 1038
p 2 0 905 15 8267 1450
p 2 0 894 26 7478 1316
p 2 0 869 51 6066 1319
p 2 0 905 15 5814 1404
p 2 0 835 85 4328 1163
p 2 0 903 17 6735 1362
p 2 0 802 118 4884 1130
p 2 0 904 16 7038 1391
p 2 0 902 18 7418 1346
p 2 0 710 210 2863 970
p 2 0 909 11 8937 1394
p 2 0 822 98 4411 1180
p 2 0 906 14 7845 1451
p 2 0 893 27 7768 1331
p 2 0 757 163 2776 1045
p 2 0 868 52 5586 1292
p 2 0 894 26 8493 1333
p 2 0 879 41 5807 1345
p 2 0 907 13 7542 1384
p 2 0 817 103 4278 1147
p 2 0 896 24 7575 1346
p 2 0 824 96 5588 1188
p 2 0 881 39 6320 1307
p 2 0 916 4 11066 1488
p 2 0 732 188 2869 1000
p 2 0 918 2 12757 1528
p 2 0 854 66 7783 1267
p 2 0 895 25 6615 1344
p 2 0 905 15 8865 1429
p 2 0 718 202 2612 987
p 2 0 841 79 4247 1195
p 2 0 903 17 7103 1375
p 2 0 897 23 7469 1361
p 2 0 890 30 6730 1351
p 2 0 900 20 5477 1354
p 2 0 881 39 6332 1226
p 2 0 788 132 3354 1081
p 2 0 900 20 7718 1382
p 2 0 909 11 7872 1376
p 2 0 784 136 3300 1093
p 2 0 905 15 12182 1448
p 2 0 839 81 5950 1240
p 2 0 910 10 11187 1491
p 2 0 906 14 9649 1432
p 2 0 814 106 4206 1158
p 2 0 894 26 6675 1304
p 2 0 866 54 5714 1262
p 2 0 908 12 7348 1435
p 2 0 892 28 7869 1366
p 2 0 891 29 5280 1323
p 2 0 904 16 7700 1335
p 2 0 862 58 4964 1219
p 2 0 904 16 7104 1399
p 2 0 886 34 6634 1283
p 2 0 747 173 2987 1006
p 2 0 906 14 8890 1396
p 2 0 871 49 7857 1276
p 2 0 903 17 7739 1383
p 2 0 903 17 9385 1396
p 2 0 745 175 2943 1009
p 2 0 874 46 5861 1287
p 2 0 884 36 6766 1267
p 2 0 891 29 6999 1363
p 2 0 902 18 6419 1397
p 2 0 792 128 3719 1120
p 2 0 889 31 7088 1343
p 2 0 785 135 3377 1098
p 2 0 907 13 8286 1440
p 2 0 911 9 8353 1362
p 2 0 819 101 4005 1147
p 2 0 911 9 9409 1420
p 2 0 822 98 5084 1184
p 2 0 901 19 8325 1413
p 2 0 911 9 8607 1400
p 2 0 779 141 3048 1055
p 2 0 900 20 8006 1390
p 2 0 879 41 8079 1295
p 2 0 887 33 8287 1340
p 2 0 899 21 6194 1397
p 2 0 801 119 4054 1145
p 2 0 906 14 8348 1400
p 2 0 851 69 7661 1296
p 2 0 909 11 9315 1454
p 2 0 909 11 9086 1459
p 2 0 742 178 2891 1029
p 2 0 919 1 10825 1444
p 2 0 835 85 5639 1186
p 2 0 905 15 8749 1436
p 2 0 909 11 9653 1395
p 2 0 787 133 3323 1063
p 2 0 898 22 8198 1393
p 2 0 892 28 7863 1329
p 2 0 897 23 7645 1369
p 2 0 893 27 6018 1370
p 2 0 822 98 3926 1143
p 2 0 911 9 8422 1364
p 2 0 859 61 6318 1230
p 2 0 907 13 6931 1382
p 2 0 892 28 8474 1334
p 2 0 753 167 3342 1022
p 2 0 912 8 10216 1476
p 2 0 854 66 6333 1237
p 2 0 913 7 8406 1405
p 2 0 908 12 8046 1386
p 2 0 745 175 2925 1019
p 2 0 854 66 5273 1266
p 2 0 896 24 6255 1275
p 2 0 858 62 5321 1263
p 2 0 884 36 6737 1341
p 2 0 852 68 4901 1194
p 2 0 895 25 10131 1369
p 2 1 871 48 11534 1331
p 2 0 910 10 12397 1462
p 2 0 906 14 11171 1389
p 2 0 784 136 3975 1090
p 2 0 914 6 13899 1500
p 2 0 827 93 7111 1194
p 2 0 874 46 5314 1275
p 2 0 909 11 8179 1401
p 2 0 691 229 2461 953
p 2 0 825 95 4208 1157
p 2 0 890 30 6821 1383
p 2 0 886 34 6911 1322
p 2 0 889 31 6829 1353
p 2 0 894 26 5759 1343
p 2 0 894 26 7526 1310
p 2 0 799 121 3758 1097
p 2 0 887 33 5875 1348
p 2 0 884 36 6848 1280
p 2 0 769 151 2641 1032
p 2 0 905 15 7962 1414
p 2 0 834 86 5688 1194
p 2 0 887 33 6406 1362
p 2 0 877 43 5726 1242
p 2 0 692 228 2145 930
p 2 0 881 39 5542 1315
p 2 0 869 51 5892 1241
p 2 0 829 91 5222 1257
p 2 0 850 70 5159 1286
p 2 0 830 90 4340 1186
p 2 0 783 137 4128 1125
p 2 0 720 200 6823 1138
p 2 0 708 212 6665 1122
i 2 920 0 0 21781 3803
p 2 38 882 0 23399 2506
p 2 24 896 0 12656 2184
p 2 0 847 73 3924 1330
p 2 63 856 1 20511 2295
p 2 16 904 0 14083 2065
p 2 67 853 0 22190 2433
p 2 32 888 0 13406 2204
p 2 0 916 4 7314 1770
p 2 72 848 0 21084 2369
p 2 10 901 9 10696 1943
p 2 51 869 0 20654 2398
p 2 6 914 0 13282 1932
p 2 0 890 30 4114 1369
p 2 27 893 0 19715 2193
p 2 18 901 1 11833 1964
p 2 27 893 0 18590 2178
p 2 19 901 0 12760 2007
