# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3164 2816
p 2 0 800 120 2270 1195
p 2 1 783 136 1920 1086
p 2 0 666 254 1219 871
p 2 5 803 112 2573 1159
p 2 0 839 81 2052 1152
p 2 0 835 85 2675 1129
p 2 0 782 138 2087 1091
p 2 0 680 240 1025 849
p 2 0 708 212 1520 933
p 2 1 659 260 1423 881
p 2 0 693 227 1657 943
p 2 19 879 22 4767 1483
p 2 0 863 57 2066 1215
p 2 14 875 31 3683 1320
p 2 15 859 46 5058 1581
p 2 0 858 62 2814 1315
p 2 0 812 108 2187 1201
p 2 0 740 180 1257 942
p 2 6 791 123 2921 1130
i 2 920 0 0 16464 3767
p 2 1 833 86 4847 1365
p 2 2 782 136 3566 1202
p 2 0 562 358 1414 820
p 2 363 538 19 18704 3180
p 2 0 889 31 6935 1774
p 2 0 903 17 4536 1576
p 2 0 845 75 3863 1378
p 2 0 818 102 2376 1207
p 2 0 878 42 3700 1367
p 2 0 869 51 4597 1372
p 2 405 514 1 26265 3555
p 2 2 914 4 9973 1923
p 2 0 891 29 4878 1570
p 2 0 896 24 5750 1470
p 2 0 897 23 6697 1455
p 2 0 910 10 7294 1520
p 2 0 907 13 6251 1521
p 2 0 904 16 7961 1651
i 2 920 0 0 26660 4199
p 2 0 906 14 9718 1658
p 2 1 903 16 7076 1535
p 2 0 850 70 4405 1351
p 2 0 690 230 2005 1010
p 2 0 912 8 10046 1672
i 2 920 0 0 32632 4258
p 2 4 892 24 9686 1680
p 2 0 881 39 6203 1496
p 2 0 918 2 14262 1794
i 2 920 0 0 37972 4515
p 2 0 904 16 12153 1706
p 2 0 910 10 12161 1676
p 2 0 892 28 11776 1548
p 2 0 918 2 16995 1795
i 2 920 0 0 39601 4210
p 2 1 895 24 13181 1662
p 2 2 912 6 11253 1546
p 2 0 890 30 11871 1412
p 2 0 860 60 6940 1192
p 2 0 883 37 10841 1337
p 2 0 836 84 8394 1200
i 2 920 0 0 37713 4197
p 2 0 907 13 13170 1630
p 2 0 885 35 7283 1323
p 2 0 820 100 7195 1155
p 2 0 794 126 6878 1133
p 2 0 874 46 8014 1283
p 2 0 908 12 15058 1520
