# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3156 2820
p 2 0 648 272 1770 924
p 2 1 669 250 1618 925
p 2 0 681 239 1500 901
p 2 0 676 244 1644 937
p 2 0 746 174 1648 1010
p 2 1 805 114 2652 1135
p 2 0 829 91 2054 1141
p 2 0 856 64 2963 1198
p 2 0 797 123 2086 1099
p 2 0 740 180 1529 1014
p 2 0 810 110 1913 1107
p 2 0 776 144 1742 1036
p 2 0 728 192 1618 981
p 2 19 881 20 4632 1488
p 2 0 787 133 1529 1084
p 2 12 841 67 3348 1338
p 2 13 767 140 4000 1258
p 2 0 826 94 2732 1212
p 2 0 816 104 2259 1189
p 2 0 736 184 1508 957
p 2 9 774 137 2949 1138
i 2 920 0 0 16452 3765
p 2 3 808 109 4715 1387
p 2 3 814 103 3694 1286
p 2 0 727 193 2462 1066
p 2 358 547 15 18818 3195
p 2 0 883 37 6449 1754
p 2 0 911 9 4872 1641
p 2 0 878 42 4155 1433
p 2 0 829 91 2373 1190
p 2 0 882 38 3860 1354
p 2 0 878 42 4470 1349
p 2 399 519 2 26408 3537
p 2 2 910 8 10588 1886
p 2 0 815 105 3310 1307
p 2 0 894 26 5761 1455
p 2 0 902 18 7142 1493
p 2 0 907 13 6858 1494
p 2 0 879 41 4999 1379
p 2 0 914 6 9038 1668
i 2 920 0 0 26512 4182
p 2 1 872 47 8770 1544
p 2 0 900 20 7063 1547
p 2 0 854 66 4325 1382
p 2 0 646 274 1828 942
p 2 0 917 3 10796 1700
i 2 920 0 0 32853 4265
p 2 1 891 28 9121 1705
p 2 3 913 4 8805 1793
p 2 0 915 5 7183 1647
i 2 920 0 0 38552 4521
p 2 0 894 26 12143 1715
p 2 2 892 26 11153 1617
p 2 4 892 24 11962 1573
p 2 0 918 2 19315 1850
i 2 920 0 0 39316 4204
p 2 0 896 24 12814 1605
p 2 0 908 12 10499 1530
p 2 0 903 17 12480 1495
p 2 0 824 96 7135 1120
p 2 0 885 35 10723 1355
p 2 0 782 138 7282 1090
i 2 920 0 0 37383 4200
p 2 0 914 6 14478 1627
p 2 0 727 193 3155 971
p 2 0 854 66 7648 1227
p 2 0 858 62 8368 1249
p 2 0 821 99 6462 1146
p 2 0 904 16 14091 1480
p 2 0 918 2 12009 1637
i 2 920 0 0 26439 3614
p 2 5 897 18 6717 1632
p 2 0 906 14 7355 1542
p 2 0 868 52 4342 1303
p 2 0 821 99 3391 1144
p 2 0 909 11 6493 1442
p 2 0 864 56 5929 1281
p 2 0 899 21 5387 1382
p 2 0 851 69 3739 1209
p 2 0 810 110 2962 1117
p 2 0 872 48 5584 1288
p 2 0 882 38 5103 1330
p 2 0 891 29 6182 1431
p 2 0 875 45 5455 1301
p 2 0 832 88 3353 1184
p 2 0 873 47 5639 1327
p 2 0 850 70 5047 1255
p 2 0 888 32 6079 1381
p 2 0 894 26 7225 1433
p 2 0 729 191 2413 1045
p 2 0 893 27 7658 1443
p 2 0 812 108 4388 1183
p 2 0 896 24 6460 1435
p 2 0 875 45 5890 1297
p 2 0 850 70 4280 1249
p 2 0 867 53 5713 1273
p 2 0 857 63 4987 1309
p 2 0 895 25 6882 1457
p 2 0 875 45 6491 1314
p 2 0 830 90 3976 1180
p 2 0 899 21 7261 1410
p 2 0 866 54 5302 1245
p 2 0 874 46 6700 1357
p 2 0 885 35 6972 1400
p 2 0 677 243 2429 946
