# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3081 2791
p 2 0 717 203 1737 973
p 2 0 722 198 1669 976
p 2 0 742 178 1884 1037
p 2 0 683 237 1253 903
p 2 3 757 160 2520 1060
p 2 0 751 169 1824 1041
p 2 0 778 142 1963 1067
p 2 0 769 151 1715 1051
p 2 0 682 238 1208 887
p 2 0 719 201 1693 966
p 2 0 691 229 1554 916
p 2 0 676 244 1532 907
p 2 11 872 37 4560 1345
p 2 0 737 183 1272 937
p 2 3 871 46 3391 1341
p 2 14 774 132 3823 1206
p 2 0 803 117 2572 1144
p 2 1 757 162 2184 1066
p 2 0 686 234 1200 888
p 2 0 834 86 2822 1221
i 2 920 0 0 16450 3763
p 2 0 849 71 4815 1356
p 2 0 796 124 3675 1240
p 2 0 571 349 1485 836
p 2 358 555 7 18898 3214
p 2 0 883 37 6199 1718
p 2 0 903 17 4853 1594
p 2 0 882 38 4002 1430
p 2 0 836 84 2483 1219
p 2 0 882 38 3770 1363
p 2 0 867 53 4268 1320
p 2 395 523 2 26270 3482
p 2 4 906 10 10653 1947
p 2 0 816 104 3209 1355
p 2 0 871 49 5331 1401
p 2 0 911 9 7816 1585
p 2 0 905 15 6968 1464
p 2 0 889 31 5106 1389
p 2 0 913 7 9207 1683
i 2 920 0 0 26656 4181
p 2 0 894 26 8861 1664
p 2 0 916 4 8137 1657
p 2 0 865 55 4559 1389
p 2 0 688 232 2074 1014
p 2 0 914 6 11094 1726
i 2 920 0 0 33070 4247
p 2 2 904 14 9797 1757
p 2 0 913 7 9094 1798
p 2 0 909 11 8416 1696
i 2 920 0 0 37952 4529
p 2 1 894 25 12886 1752
p 2 0 890 30 10511 1516
p 2 0 864 56 10939 1441
p 2 0 915 5 18301 1839
i 2 920 0 0 39532 4204
p 2 1 893 26 12171 1592
p 2 0 909 11 11120 1588
p 2 0 914 6 12571 1537
p 2 0 847 73 7066 1184
p 2 0 884 36 10418 1357
p 2 0 826 94 7622 1180
i 2 920 0 0 37029 4220
p 2 1 897 22 12927 1610
p 2 0 661 259 2876 887
p 2 0 837 83 7327 1181
p 2 0 874 46 8428 1298
p 2 0 835 85 6719 1164
p 2 0 902 18 14141 1463
p 2 0 910 10 11595 1607
i 2 920 0 0 26503 3620
p 2 0 895 25 5915 1550
p 2 0 914 6 7950 1624
p 2 0 835 85 3905 1272
p 2 0 792 128 3123 1110
p 2 0 915 5 6857 1471
p 2 0 863 57 5856 1259
p 2 0 906 14 5729 1420
p 2 0 860 60 3832 1242
p 2 0 853 67 3478 1255
p 2 0 883 37 5387 1304
p 2 0 877 43 5176 1303
p 2 0 896 24 6058 1425
p 2 0 866 54 5405 1300
p 2 0 842 78 3598 1191
p 2 0 869 51 6150 1339
p 2 0 826 94 4747 1226
p 2 0 905 15 6785 1470
p 2 0 900 20 6907 1394
p 2 0 790 130 3542 1086
p 2 0 901 19 7016 1443
p 2 0 828 92 5058 1191
p 2 0 878 42 6242 1379
p 2 0 888 32 6375 1380
p 2 0 714 206 2260 1012
p 2 0 814 106 4274 1160
