# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3122 2812
p 2 0 680 240 1627 926
p 2 0 645 275 1513 882
p 2 0 669 251 1664 927
p 2 0 743 177 1652 1040
p 2 5 768 147 2673 1089
p 2 0 796 124 2224 1125
p 2 0 860 60 2799 1213
p 2 0 839 81 2194 1188
p 2 0 743 177 1184 930
p 2 0 674 246 1467 904
p 2 0 620 300 1384 852
p 2 0 646 274 1455 869
p 2 15 870 35 4570 1359
p 2 0 740 180 1322 969
p 2 4 875 41 3367 1388
p 2 13 753 154 3909 1252
p 2 2 818 100 2636 1200
p 2 0 783 137 2100 1108
p 2 0 703 217 1365 898
p 2 0 837 83 2753 1236
i 2 920 0 0 16509 3776
p 2 0 780 140 4520 1324
p 2 2 786 132 3533 1236
p 2 0 661 259 2249 979
p 2 355 554 11 18935 3218
p 2 0 893 27 6237 1689
p 2 0 905 15 4759 1587
p 2 0 871 49 4190 1440
p 2 0 831 89 2392 1212
p 2 0 882 38 3749 1348
p 2 0 846 74 4288 1313
p 2 399 518 3 26198 3532
p 2 1 912 7 10607 1913
p 2 0 801 119 3045 1263
p 2 0 889 31 5386 1407
p 2 0 914 6 7773 1571
p 2 0 909 11 7024 1496
p 2 0 886 34 5017 1404
p 2 0 911 9 8787 1665
i 2 920 0 0 26732 4192
p 2 0 905 15 9062 1622
p 2 0 911 9 7936 1662
p 2 0 858 62 4509 1391
p 2 0 647 273 1844 946
p 2 0 912 8 11097 1725
i 2 920 0 0 32877 4248
p 2 3 891 26 9091 1709
p 2 1 915 4 8537 1772
p 2 0 913 7 7570 1670
i 2 920 0 0 37865 4527
p 2 0 898 22 12619 1726
p 2 0 891 29 10392 1514
p 2 0 865 55 10778 1455
p 2 0 915 5 18131 1819
i 2 920 0 0 39536 4198
p 2 0 903 17 12711 1683
p 2 0 911 9 11316 1584
p 2 0 910 10 12707 1545
p 2 0 839 81 7238 1177
p 2 1 887 32 10545 1373
p 2 0 830 90 7715 1201
i 2 920 0 0 36862 4192
p 2 0 909 11 13036 1613
p 2 0 661 259 3013 897
p 2 0 823 97 7216 1163
p 2 0 870 50 8457 1276
p 2 0 826 94 6849 1161
p 2 0 901 19 14297 1467
p 2 0 913 7 11581 1594
i 2 920 0 0 26483 3616
p 2 0 884 36 5826 1496
p 2 0 917 3 7754 1579
p 2 0 812 108 3671 1250
p 2 0 779 141 3101 1097
p 2 0 913 7 6661 1447
p 2 0 868 52 5659 1263
p 2 0 904 16 5888 1397
p 2 0 840 80 3584 1212
p 2 0 876 44 3869 1303
p 2 0 879 41 4893 1266
p 2 0 879 41 4986 1323
p 2 0 905 15 6237 1461
p 2 0 882 38 5975 1323
p 2 0 833 87 3576 1188
p 2 0 880 40 6174 1370
p 2 0 818 102 4772 1230
p 2 0 897 23 6766 1449
p 2 0 899 21 6779 1370
p 2 0 790 130 3509 1090
p 2 0 901 19 7539 1436
p 2 0 837 83 4774 1183
p 2 0 877 43 6157 1367
p 2 0 875 45 6599 1356
p 2 0 722 198 2509 1036
p 2 0 860 60 5639 1275
p 2 0 833 87 4711 1243
p 2 0 879 41 6476 1365
p 2 0 891 29 6619 1386
p 2 0 773 147 3083 1100
p 2 0 883 37 7799 1390
p 2 0 858 62 5540 1281
p 2 0 892 28 7313 1457
p 2 0 871 49 6519 1361
p 2 0 777 143 3631 1084
p 2 0 910 10 9311 1452
p 2 0 758 162 3646 1078
p 2 0 852 68 5626 1292
p 2 0 866 54 6792 1322
