# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 3114 2793
p 2 0 720 200 1829 1011
p 2 0 693 227 1715 960
p 2 0 707 213 1847 988
p 2 0 761 159 1703 1052
p 2 7 813 100 3069 1180
p 2 0 819 101 2389 1133
p 2 0 878 42 2890 1289
p 2 0 846 74 2082 1180
p 2 0 728 192 1265 932
p 2 0 736 184 1681 987
p 2 0 716 204 1496 945
p 2 0 675 245 1652 942
p 2 19 871 30 4647 1414
p 2 0 769 151 1430 1002
p 2 10 877 33 3472 1400
p 2 14 780 126 3994 1233
p 2 0 818 102 2604 1194
p 2 1 799 120 2497 1181
p 2 0 692 228 1255 898
p 2 4 834 82 3163 1269
i 2 920 0 0 16476 3763
p 2 3 802 115 4703 1329
p 2 2 803 115 3881 1286
p 2 0 669 251 2265 1007
p 2 360 544 16 18664 3180
p 2 0 901 19 6541 1777
p 2 0 904 16 4700 1628
p 2 0 882 38 4200 1467
p 2 0 803 117 2375 1172
p 2 0 876 44 3672 1375
p 2 0 877 43 4426 1368
p 2 397 522 1 26489 3523
p 2 4 911 5 10415 1890
p 2 0 808 112 3073 1306
p 2 0 903 17 5663 1471
p 2 0 901 19 7165 1498
p 2 0 900 20 6895 1488
p 2 0 891 29 5364 1417
p 2 0 911 9 9052 1683
i 2 920 0 0 26633 4185
p 2 0 889 31 9094 1600
p 2 0 907 13 7294 1566
p 2 0 854 66 4184 1352
p 2 0 670 250 1913 972
p 2 0 911 9 10854 1713
i 2 920 0 0 32960 4247
p 2 4 904 12 10083 1746
p 2 0 914 6 8809 1742
p 2 0 905 15 7848 1650
i 2 920 0 0 38234 4533
p 2 0 902 18 12322 1711
p 2 0 900 20 10697 1546
p 2 0 897 23 11795 1565
p 2 0 918 2 17914 1824
i 2 920 0 0 39426 4195
p 2 0 882 38 12681 1593
p 2 0 909 11 10846 1535
p 2 0 901 19 12687 1500
p 2 0 820 100 7199 1131
p 2 0 881 39 10717 1365
p 2 0 816 104 7812 1155
i 2 920 0 0 37202 4193
p 2 1 917 2 14239 1632
p 2 0 721 199 3127 968
p 2 0 852 68 7678 1238
p 2 0 857 63 8199 1244
p 2 0 834 86 6612 1195
p 2 0 903 17 14474 1466
p 2 0 915 5 11604 1586
i 2 920 0 0 26645 3634
p 2 3 903 14 6726 1637
p 2 0 913 7 7757 1609
p 2 0 856 64 4284 1313
p 2 0 776 144 2769 1078
p 2 0 918 2 7277 1482
p 2 0 830 90 5020 1184
p 2 0 902 18 5310 1359
p 2 0 856 64 3846 1215
p 2 0 826 94 3037 1153
p 2 0 876 44 5772 1326
p 2 0 871 49 4873 1334
p 2 0 899 21 6374 1413
p 2 0 884 36 5603 1324
p 2 0 826 94 3342 1163
p 2 0 874 46 5713 1337
p 2 0 845 75 4875 1225
p 2 0 893 27 6200 1410
p 2 0 900 20 7533 1422
p 2 0 707 213 2215 1004
p 2 0 904 16 7944 1480
p 2 0 833 87 4345 1203
p 2 0 903 17 6154 1416
p 2 0 856 64 5637 1282
p 2 0 861 59 4270 1257
p 2 0 860 60 5744 1284
p 2 0 837 83 4922 1276
p 2 0 891 29 6702 1425
p 2 0 874 46 6273 1298
p 2 0 828 92 4104 1178
p 2 0 898 22 7190 1396
p 2 0 853 67 5245 1222
p 2 0 869 51 6867 1349
p 2 0 878 42 6770 1414
p 2 0 673 247 2622 944
p 2 0 899 21 9041 1481
p 2 0 751 169 3490 1084
p 2 0 856 64 5838 1312
p 2 0 872 48 7110 1366
p 2 0 638 282 2284 907
p 2 0 816 104 6051 1212
p 2 0 868 52 6277 1329
p 2 0 836 84 6264 1259
p 2 0 857 63 7220 1317
p 2 0 879 41 5377 1328
p 2 0 830 90 5508 1194
p 2 0 848 72 6333 1272
p 2 0 913 7 8535 1417
p 2 0 890 30 7279 1346
p 2 0 805 115 4040 1138
p 2 0 907 13 8580 1424
p 2 0 784 136 4537 1089
p 2 0 868 52 7829 1324
p 2 0 901 19 8990 1391
p 2 0 677 243 2487 927
p 2 0 853 67 5543 1213
p 2 0 888 32 7912 1398
p 2 0 888 32 7959 1348
p 2 0 905 15 9543 1439
p 2 0 759 161 3578 1080
p 2 0 893 27 8763 1428
p 2 0 862 58 6750 1263
p 2 0 907 13 8923 1440
p 2 0 913 7 9261 1468
p 2 0 746 174 2763 1027
p 2 0 920 0 10274 1482
p 2 0 795 125 3815 1117
p 2 0 895 25 7823 1407
p 2 0 915 5 10195 1423
p 2 0 828 92 3472 1129
p 2 0 887 33 6558 1362
p 2 0 882 38 6958 1274
p 2 0 916 4 10363 1443
p 2 0 910 10 10214 1519
p 2 0 779 141 3657 1105
p 2 0 913 7 9973 1550
p 2 0 818 102 4803 1227
p 2 0 887 33 6334 1360
p 2 0 916 4 9595 1496
p 2 0 838 82 4504 1186
p 2 0 916 4 14001 1536
p 2 0 840 80 12509 1289
p 2 0 889 31 9645 1382
p 2 0 919 1 11350 1527
p 2 0 677 243 2616 923
p 2 0 878 42 5694 1313
p 2 0 886 34 6735 1357
p 2 0 855 65 5928 1264
p 2 0 885 35 8260 1404
p 2 0 886 34 5832 1351
p 2 0 885 35 7697 1325
p 2 0 840 80 5431 1207
p 2 0 896 24 6240 1380
p 2 0 897 23 7012 1329
p 2 0 793 127 3181 1077
p 2 0 909 11 7809 1439
p 2 0 776 144 5139 1059
p 2 0 880 40 6200 1315
p 2 0 890 30 7440 1345
p 2 0 660 260 2286 912
p 2 0 830 90 3970 1156
p 2 0 887 33 6648 1346
p 2 0 903 17 7555 1358
p 2 0 906 14 8381 1421
p 2 0 791 129 3669 1119
p 2 0 872 48 5267 1264
p 2 0 886 34 7129 1285
p 2 0 879 41 5437 1311
p 2 0 912 8 9085 1408
p 2 0 743 177 3077 1028
p 2 0 900 20 7826 1378
p 2 0 783 137 5015 1100
p 2 0 883 37 6318 1307
p 2 0 909 11 10869 1471
p 2 0 738 182 2875 1015
p 2 0 902 18 10447 1443
p 2 0 906 14 8493 1424
p 2 0 890 30 6527 1317
p 2 0 887 33 6422 1289
p 2 0 870 50 4922 1282
p 2 0 847 73 4983 1154
p 2 0 789 131 4304 1116
p 2 0 887 33 7407 1409
p 2 0 911 9 8922 1412
p 2 0 833 87 3124 1118
p 2 0 913 7 7811 1388
p 2 0 803 117 3985 1102
p 2 0 885 35 7510 1350
p 2 0 906 14 9346 1403
p 2 0 701 219 2549 976
p 2 0 838 82 7765 1251
p 2 0 910 10 9702 1421
p 2 0 899 21 11744 1419
p 2 0 901 19 8875 1404
p 2 0 874 46 5390 1286
p 2 0 828 92 5401 1184
p 2 0 818 102 4396 1154
p 2 0 904 16 7505 1402
p 2 0 905 15 8361 1373
p 2 0 811 109 3874 1147
p 2 0 913 7 8654 1405
p 2 0 831 89 4760 1164
p 2 0 907 13 6825 1373
p 2 0 892 28 6688 1286
p 2 0 766 154 3102 1028
p 2 0 899 21 7281 1368
p 2 0 889 31 9057 1336
p 2 0 879 41 6885 1299
p 2 0 901 19 8911 1396
p 2 0 780 140 4151 1086
p 2 0 868 52 5811 1270
p 2 0 865 55 5747 1222
p 2 0 875 45 6277 1322
